Artist,Album,Title,Work,note,Genre,GenreMelon,GenreBugs,GenreSource,CoverImageURL,MelonAlbumId,MelonAlbumURL,MelonReleaseDate,MelonLookupStatus
검정치마,TEAM BABY,전곡,"녹음, 튠",,"인디음악, 록/메탈","인디음악, 록/메탈",,melon,https://cdnimg.melon.co.kr/cm/album/images/100/66/921/10066921_500.jpg?d681ad3ffefc92590ccb8cd33d55b4ee,10066921,https://www.melon.com/album/detail.htm?albumId=10066921,2017.05.30,found
검정치마,TEEN TROUBLES,전곡,"녹음, 튠",,"인디음악, 록/메탈","인디음악, 록/메탈",,melon,https://cdnimg.melon.co.kr/cm2/album/images/110/56/063/11056063_20220914191201_500.jpg?49723e96602e8b16d300d1f0ae397429,11056063,https://www.melon.com/album/detail.htm?albumId=11056063,2022.09.15,found
이동수,Solus,전곡,"튠, 믹싱",,"인디음악, 록/메탈, 발라드, 재즈, 보컬재즈","인디음악, 록/메탈, 발라드, 재즈, 보컬재즈",,melon,https://cdnimg.melon.co.kr/cm2/album/images/124/22/890/12422890_20251204143759_500.jpg?2f1bdd0708d2299678aaf32de8efca8d,12422890,https://www.melon.com/album/detail.htm?albumId=12422890,2025.12.05,found
Boynextdoor,the first take,오늘만 I love you,"방송, 튠",,POP,POP,,melon,https://cdnimg.melon.co.kr/cm2/album/images/110/61/642/11061642_20220921173659_500.jpg?3e2b6b27554f6cf259714d6e39a8e663,11061642,https://www.melon.com/album/detail.htm?albumId=11061642,2022.09.23,found
Boynextdoor,the first take,count to love,"방송, 튠",,POP,POP,,melon,https://cdnimg.melon.co.kr/cm2/album/images/110/61/642/11061642_20220921173659_500.jpg?3e2b6b27554f6cf259714d6e39a8e663,11061642,https://www.melon.com/album/detail.htm?albumId=11061642,2022.09.23,found
국카스텐,음악중심,Kick out,"방송, 튠",,록/메탈,록/메탈,,melon,https://cdnimg.melon.co.kr/cm2/album/images/121/22/356/12122356_20250917163759_500.jpg?e27a20aeb6976d912b6d650c94839ce7,12122356,https://www.melon.com/album/detail.htm?albumId=12122356,2025.09.18,found
마치한아,별자리 항해,봄을 향해 걷는 우리,"튠, 녹음, 믹싱",,"인디음악, 록/메탈","인디음악, 록/메탈",,melon,https://cdnimg.melon.co.kr/cm2/album/images/117/45/734/11745734_20250320145015_500.jpg?0875388b18f0bd7ba6ec6c92db774589,11745734,https://www.melon.com/album/detail.htm?albumId=11745734,2025.03.20,found
Miiro,계절범죄,계절범죄,믹싱,,록/메탈,록/메탈,,melon,https://cdnimg.melon.co.kr/cm2/album/images/112/17/356/11217356_20230404145205_500.jpg?9160cdea5cb94bab9429cdb1db2badf7,11217356,https://www.melon.com/album/detail.htm?albumId=11217356,2023.04.05,found
아이린,Like a flower,"summer rain,winter wish",튠,,"댄스, R&B/Soul, 발라드","댄스, R&B/Soul, 발라드",,melon,https://cdnimg.melon.co.kr/cm2/album/images/116/50/136/11650136_20241125151407_500.jpg?c7597fe78a748642be6ca5ecb0e600be,11650136,https://www.melon.com/album/detail.htm?albumId=11650136,2024.11.26,found
정동원,키다리의 선물,,튠,,"성인가요/트로트, 발라드, 댄스, 록/메탈","성인가요/트로트, 발라드, 댄스, 록/메탈",,melon,https://cdnimg.melon.co.kr/cm2/album/images/117/30/848/11730848_20250313101213_500.jpg?f9a3bc13d905f1ae4922ab4722bc04ec,11730848,https://www.melon.com/album/detail.htm?albumId=11730848,2025.03.13,found
